shiptype,count,percent
Cargo,189669,53.90176736889669
Tanker,78486,22.304826374975487
Fishing,23749,6.749195035793554
Passenger,17689,5.027012126327516
Tug,9925,2.8205718442987506
Military,6847,1.9458393368174856
Dredging,5413,1.538312885963641
Pilot,3915,1.1125983647788018
Pleasure,3882,1.1032201410143827
HSC,3753,1.066559811753472
Sailing,2429,0.6902941067810242
SAR,1853,0.526601473802074
Law enforcement,1635,0.4646483592371241
Towing,1034,0.29385101128512925
Reserved,771,0.2191094097686989
Towing long/wide,586,0.16653451896816804
Port tender,243,0.0690578295379946
